metric	value
label_a	AlphaGenome
label_b	SpliceAI
n_stratum2	52
n_paired	52
n_missing_a	0
n_missing_b	0
n_pos	43
n_neg	9
delong_auc_a	1.0
delong_auc_b	0.9819121447028425
delong_auc_diff	0.018087855297157507
delong_variance	0.00022797012160632118
delong_std_error	0.015098679465646032
delong_ci_lower	-0.011505012669623185
delong_ci_upper	0.0476807232639382
delong_z	1.197975977853741
delong_p_value	0.23092636904903197
delong_n_pos	43
delong_n_neg	9
h1_alpha	0.05
h1_auc_diff	0.018087855297157507
h1_p_value	0.23092636904903197
h1_superior	False
h1_decision	not superior
h2_margin	0.05
h2_ci_lower	-0.011505012669623185
h2_ci_upper	0.0476807232639382
h2_non_inferior	True
h2_decision	non-inferior
boot_a_auc_median	1.0
boot_a_ci_low_2p5	1.0
boot_a_ci_high_97p5	1.0
boot_b_auc_median	0.9844961240310078
boot_b_ci_low_2p5	0.9431524547803617
boot_b_ci_high_97p5	1.0
boot_iters	10000
boot_seed	20260913
