metric	value
label_a	AlphaGenome
label_b	Pangolin
n_stratum2	52
n_paired	52
n_missing_a	0
n_missing_b	0
n_pos	43
n_neg	9
delong_auc_a	1.0
delong_auc_b	0.9844961240310077
delong_auc_diff	0.015503875968992276
delong_variance	0.00020205719983377578
delong_std_error	0.014214682544248949
delong_ci_lower	-0.012356389869405848
delong_ci_upper	0.0433641418073904
delong_z	1.0906944928759534
delong_p_value	0.27540733467492395
delong_n_pos	43
delong_n_neg	9
h1_alpha	0.05
h1_auc_diff	0.015503875968992276
h1_p_value	0.27540733467492395
h1_superior	False
h1_decision	not superior
h2_margin	0.05
h2_ci_lower	-0.012356389869405848
h2_ci_upper	0.0433641418073904
h2_non_inferior	True
h2_decision	non-inferior
boot_a_auc_median	1.0
boot_a_ci_low_2p5	1.0
boot_a_ci_high_97p5	1.0
boot_b_auc_median	0.9870801033591731
boot_b_ci_low_2p5	0.9483204134366925
boot_b_ci_high_97p5	1.0
boot_iters	10000
boot_seed	20260913
