metric	value
label_a	AlphaGenome-RuleB
label_b	SpliceAI
n_stratum2	52
n_paired	52
n_missing_a	0
n_missing_b	0
n_pos	43
n_neg	9
delong_auc_a	0.9922480620155041
delong_auc_b	0.9819121447028425
delong_auc_diff	0.010335917312661591
delong_variance	0.00020269309975457438
delong_std_error	0.014237032687838234
delong_ci_lower	-0.01756815400222083
delong_ci_upper	0.03823998862754401
delong_z	0.7259881703784307
delong_p_value	0.4678460225843797
delong_n_pos	43
delong_n_neg	9
h1_alpha	0.05
h1_auc_diff	0.010335917312661591
h1_p_value	0.4678460225843797
h1_superior	False
h1_decision	not superior
h2_margin	0.05
h2_ci_lower	-0.01756815400222083
h2_ci_upper	0.03823998862754401
h2_non_inferior	True
h2_decision	non-inferior
boot_a_auc_median	0.9948320413436692
boot_a_ci_low_2p5	0.9689922480620156
boot_a_ci_high_97p5	1.0
boot_b_auc_median	0.9844961240310078
boot_b_ci_low_2p5	0.9431524547803617
boot_b_ci_high_97p5	1.0
boot_iters	10000
boot_seed	20260913
