metric	value
label_a	AlphaGenome-RuleB
label_b	Pangolin
n_stratum2	52
n_paired	52
n_missing_a	0
n_missing_b	0
n_pos	43
n_neg	9
delong_auc_a	0.9922480620155041
delong_auc_b	0.9844961240310077
delong_auc_diff	0.00775193798449636
delong_variance	6.279511717886826e-05
delong_std_error	0.007924337018253846
delong_ci_lower	-0.0077794771726387
delong_ci_upper	0.02328335314163142
delong_z	0.9782443586939371
delong_p_value	0.3279534820304657
delong_n_pos	43
delong_n_neg	9
h1_alpha	0.05
h1_auc_diff	0.00775193798449636
h1_p_value	0.3279534820304657
h1_superior	False
h1_decision	not superior
h2_margin	0.05
h2_ci_lower	-0.0077794771726387
h2_ci_upper	0.02328335314163142
h2_non_inferior	True
h2_decision	non-inferior
boot_a_auc_median	0.9948320413436692
boot_a_ci_low_2p5	0.9689922480620156
boot_a_ci_high_97p5	1.0
boot_b_auc_median	0.9870801033591731
boot_b_ci_low_2p5	0.9483204134366925
boot_b_ci_high_97p5	1.0
boot_iters	10000
boot_seed	20260913
