# Source: Ensembl REST API https://rest.ensembl.org/lookup/id/ENST00000003084?expand=1
# Transcript: ENST00000003084.11 (CFTR-201), MANE Select, RefSeq NM_000492.4
# Assembly: GRCh38, chromosome 7, forward strand
# Coordinates: 1-based inclusive genomic positions
# Retrieved: 2026-09-13T20:07Z
exon_number	ensembl_exon_id	start	end	length
1	ENSE00001343851	117480025	117480147	123
2	ENSE00003976987	117504253	117504363	111
3	ENSE00003976975	117509034	117509142	109
4	ENSE00000718611	117530899	117531114	216
5	ENSE00000718620	117534276	117534365	90
6	ENSE00000718626	117535248	117535411	164
7	ENSE00000718630	117536548	117536673	126
8	ENSE00000718634	117540100	117540346	247
9	ENSE00000718637	117542016	117542108	93
10	ENSE00003976986	117548641	117548823	183
11	ENSE00003977079	117559464	117559655	192
12	ENSE00003977066	117587739	117587833	95
13	ENSE00003977041	117590353	117590439	87
14	ENSE00003977038	117591934	117592657	724
15	ENSE00003977072	117594930	117595058	129
16	ENSE00003977044	117602826	117602863	38
17	ENSE00003977055	117603532	117603782	251
18	ENSE00003977054	117606674	117606753	80
19	ENSE00003977056	117610519	117610669	151
20	ENSE00000977443	117611581	117611808	228
21	ENSE00000718699	117614613	117614713	101
22	ENSE00003936498	117627522	117627770	249
23	ENSE00003925242	117642438	117642593	156
24	ENSE00003833777	117652842	117652931	90
25	ENSE00003840813	117664688	117664860	173
26	ENSE00003835972	117665459	117665564	106
27	ENSE00004796618	117666908	117668665	1758
